abandonar,abastecer,abençoado,abobadado,abobrinha,
aborrecer,acebolado,adaptador,adiantado,adicionar,
adormecer,aerofólio,aeroplano,aeroporto,agasalhar,
aglomerar,agressivo,água-viva,agulheiro,ajoelhado,
alambique,alambrado,alargador,alcaparra,alho-poró,
alimentar,almôndega,alpinista,amanhecer,amarrotar,
ampulheta,andorinha,angelical,anoitecer,apaixonar,
apetitoso,apicultor,apimentar,apodrecer,apontador,
apressado,aproximar,aquarista,aquecedor,ararajuba,
arborizar,arca de noé,arco-íris,armadilha,arquiteto,
arrepiado,arroz doce,arruinado,asfaltado,assadeira,
assombrar,assustado,asteroide,astronave,astrônomo,
atendente,atmosfera,atropelar,auditório,autógrafo,
avalanche,azucrinar,badminton,bafômetro,bagageiro,
bagunçado,bailarina,balaclava,balaústre,bananeira,
barbatana,barbeador,barrigudo,batedeira,baterista,
bebedouro,bem-te-vi,berinjela,beterraba,betoneira,
bicho-pau,bicicleta,biomédico,blogueiro,bloqueado,
boiadeiro,boi-bumbá,bomba de ar,borboleta,borbulhar,
bracelete,brevidade,brilhante,brinquedo,bronzeado,
cabideiro,cachalote,cachoeira,caderneta,cafeteira,
cafeteria,cajamanga,cajuzinho,calabresa,calcanhar,
caldeirão,calopsita,calorento,camareira,campainha,
camu-camu,camuflado,candeeiro,caneleira,carambola,
carinhoso,carnívoro,carrapato,carrilhão,carrossel,
carruagem,cartolina,carvoeiro,casadinho,casamento,
casquinha,cassetete,catapulta,cavaleiro,cebolinha,
cemitério,centopeia,cerejeira,chá gelado,champanhe,
chantilly,chimarrão,chimpanzé,chinchila,chiqueiro,
chocolate,chocotone,churrasco,cientista,cirurgião,
clarinete,clavícula,cochichar,comedouro,comemorar,
companhia,concordar,conectado,confiscar,confundir,
congelado,consertar,construir,contagiar,contramão,
contrário,contratar,conversar,corcovado,corretivo,
costeleta,crocodilo,croissant,crucifixo,daltônico,
dançarino,decorador,dentadura,depositar,desbotado,
descansar,descascar,descobrir,desligado,desmontar,
despencar,despertar,desprezar,destelhar,digitador,
diplomata,dirigível,discordar,distância,distraído,
divertido,divorciar,dobradiça,doméstica,embalador,
embalagem,embrulhar,empacotar,empolgado,emprestar,
encanador,encardido,encorpado,encostado,enfeitado,
engessado,engraçado,engraxate,enjaulado,ensaboado,
entediado,erva-doce,escorpião,escoteiro,escultura,
espaguete,espanador,espantado,espelhado,espetinho,
espinafre,esponjoso,esqueleto,estilista,estudioso,
exagerado,executivo,exposição,fantasiar,faraônico,
faxineiro,fechadura,fedorento,fermentar,ferradura,
ferrorama,figurante,figurinha,filmadora,financiar,
fio dental,fita crepe,flautista,fliperama,fotógrafo,
framboesa,frentista,fruta-pão,funileiro,furadeira,
gafanhoto,garafa pet,garçonete,geladeira,giz de cera,
gladiador,gorduroso,gramofone,grampeado,gravidade,
grumixama,guacamole,guindaste,guirlanda,heliponto,
idolatrar,iluminado,incendiar,incinerar,inclinado,
instrutor,interfone,intestino,jacutinga,jiu-jitsu,
joelheira,jurássico,labirinto,lagartixa,lamparina,
lancheira,lapiseira,lavatório,limousine,lobisomem,
localizar,luminária,maçã verde,macadâmia,magnético,
malagueta,maltratar,mamadeira,mangostão,mangueira,
maquiador,maquiagem,margarida,margarina,maria mole,
marionete,marmelada,mascarado,massagear,mata-mata,
mentiroso,mergulhar,microfone,milkshake,minissaia,
minotauro,modelista,molho rosé,monitorar,mortadela,
motocross,motorista,musaranho,musculoso,mussarela,
nadadeira,namorados,nectarina,nocautear,obesidade,
obstáculo,orgulhoso,paintball,paliteiro,pão de alho,
papai noel,papelaria,parabrisa,passa anel,passarela,
pé de cabra* pedalinho,pé-grande,peixe-boi,peixe-lua,
peixe-rei,peixe-sol,península,pensativo,pepperoni,
percevejo,perfumado,periquito,perseguir,pesquisar,
pizzaiolo,plantação,podadeira,poncheira,prancheta,
primavera,professor,protegido,protestar,provolone,
psicólogo,quadrilha,queijeira,rachadura,ralo de pia,
ramalhete,rebobinar,reco-reco,registrar,relicário,
religioso,requeijão,rocambole,romântico,rosquinha,
sagitário,sal grosso,saladeira,saladeiro,salto alto,
samambaia,sanduíche,sapateira,sapateiro,sapatilha,
sarapatel,segurança,siriguela,snowboard,sobremesa,
sobretudo,solitário,sombrinha,sonâmbulo,submarino,
suco de uva* tabuleiro,tamanduaí,tamarindo,tangerina,
tapeceiro,tarântula,tartaruga,taxímetro,telefonar,
televisão,terapeuta,terremoto,tico-tico,tipógrafo,
topógrafo,tornozelo,trabalhar,trampolim,trem-bala,
triângulo,triturado,unicórnio,urubu-rei,vaga-lume,
velejador,velocista,vestiário,vídeo game,vinagrete,
zoológico
